,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
0,1,Zach Whitman -- 3sigmaathlete.com -- @zjwhitman,Zach Whitman -- 3sigmaathlete.com -- @zjwhitman,Zach Whitman -- 3sigmaathlete.com -- @zjwhitman,Zach Whitman -- 3sigmaathlete.com -- @zjwhitman,Zach Whitman -- 3sigmaathlete.com -- @zjwhitman,Zach Whitman -- 3sigmaathlete.com -- @zjwhitman,Zach Whitman -- 3sigmaathlete.com -- @zjwhitman,Zach Whitman -- 3sigmaathlete.com -- @zjwhitman,Zach Whitman -- 3sigmaathlete.com -- @zjwhitman,Zach Whitman -- 3sigmaathlete.com -- @zjwhitman,Zach Whitman -- 3sigmaathlete.com -- @zjwhitman,,,,,,,,,,,,,,
1,2,#,Name,ID,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,Last Name,HT,WT,AL,HS,WING,40 YD,20 YD,10 YD,Shuttle,3-Cone,BP,Vert.,Broad
2,3,1,Devin Bush,LB09,ILB,Michigan,21.1,5110,234,144.0,2.0,97.5,Bush,5110,234,32.00,9.63,76.5,4.43,2.58,1.53,4.23,6.93,21,40.5,10.33
3,4,2,Devin White,LB41,ILB,LSU,21.5,6000,237,138.5,1.5,93.3,White,6000,237,32.13,9.75,75.875,4.42,2.58,1.56,4.17,7.07,22,39.5,9.83
4,5,3,Blake Cashman,LB10,OLB,Minnesota,23.3,6011,237,138.9,1.3,90.9,Cashman,6011,237,30.13,8.75,73.625,4.50,2.63,1.57,4.12,6.95,18,37.5,10.33
5,6,4,Ty Summers,LB35,ILB,TCU,23.7,6013,241,135.2,1.2,89.0,Summers,6013,241,31.50,10.00,76.875,4.51,2.68,1.60,,,27,36,10.25
6,7,5,Drue Tranquill,LB38,OLB,Notre Dame,24,6020,234,137.3,1.2,88.8,Tranquill,6020,234,31.50,9.75,74.25,4.57,2.65,1.59,4.14,6.94,31,37.5,10.17
7,8,6,Andrew Van Ginkel,LB39,OLB,Wisconsin,,6034,241,135.8,1.1,86.6,Van Ginkel,6034,241,32.50,9.38,77.375,4.59,2.52,1.62,4.14,6.89,17,38,10.25
8,9,7,Ulysees Gilbert III,,OLB,Akron,,6001,224,135.6,1.1,86.4,Gilbert III,6001,224,,,,4.51,2.58,1.51,4.43,7.03,20,39.5,10.5
9,10,8,Troy Reeder,,ILB,Delaware,,6010,235,132.9,1.0,84.9,Reeder,6010,235,,,,4.63,2.70,1.63,4.14,7.00,27,37.5,10.17
10,11,9,Ben Burr-Kirven,LB08,ILB,Washington,22,6000,230,132.7,1.0,84.6,Burr-Kirven,6000,230,31.88,8.88,74.375,4.56,2.67,1.55,4.09,6.85,21,34.5,10.08
11,12,10,Cameron Smith,LB34,ILB,Southern Cal,22.4,6020,238,131.1,0.9,81.3,Smith,6020,238,32.38,10.38,77,4.69,2.72,1.61,4.23,,15,39,10.25
12,13,11,Noah Dawkins,,OLB,Citadel,,6006,227,131.3,0.8,78.3,Dawkins,6006,227,,,,4.41,2.58,1.56,,,,31,10.42
13,14,12,Drew Lewis,,ILB,Colorado,,6022,229,129.5,0.8,77.5,Lewis,6022,229,,,,4.52,2.63,1.63,4.30,7.01,20,34,10.75
14,15,13,Taki Takitaki,LB36,OLB,BYU,,6011,238,130.2,0.7,75.9,Takitaki,6011,238,32.00,9.63,75.375,4.63,2.70,1.60,4.28,7.21,24,37,10.42
