,Rank,Name,Team,Cl,Position,G,Solo Tack,Asst Tack,TT,TPG
0,1,Javahn Fergurson,New Mexico St.,Jr.,LB,10,42,90,132,13.2
1,2,Malik Fountain,Central Mich.,Sr.,LB,12,88,67,155,12.9
2,3,Ben Burr-Kirven,Washington,Sr.,LB,14,94,82,176,12.6
3,4,Joe Dineen Jr.,Kansas,Sr.,LB,12,108,39,147,12.3
4,-,Bryton Barr,Massachusetts,Sr.,LB,12,63,84,147,12.3
5,6,Evan Weaver,California,Jr.,LB,13,88,71,159,12.2
6,7,Ron LaForce,New Mexico St.,Sr.,DB,10,56,66,122,12.2
7,8,Leon McQuaker,New Mexico St.,Sr.,LB,10,48,72,120,12.0
8,9,Jordan Kunaszyk,California,Sr.,LB,13,95,53,148,11.4
9,10,Terrill Hanks,New Mexico St.,Sr.,LB,9,33,68,101,11.2
10,11,David Woodward,Utah St.,So.,LB,12,52,82,134,11.2
11,12,Lawrence Garner,Old Dominion,So.,LB,9,50,50,100,11.1
12,13,Kenneth Murray,Oklahoma,So.,LB,14,71,84,155,11.1
13,14,Brandon Harris,Bowling Green,Sr.,LB,12,76,55,131,10.9
14,-,Josh Watson,Colorado St.,Sr.,LB,12,57,74,131,10.9
15,16,John Lako,Akron,Jr.,LB,12,73,53,126,10.5
16,-,A.J. Hotchkins,UTEP,Sr.,LB,12,53,73,126,10.5
17,18,Khalil Hodge,Buffalo,Sr.,LB,14,58,86,144,10.3
18,19,Adarius Pickett,UCLA,Sr.,DB,12,77,46,123,10.3
19,20,Sage Lewis,FIU,Jr.,LB,13,81,51,132,10.2
20,21,Jamal Scott,San Jose St.,Sr.,LB,9,36,55,91,10.1
21,22,Curtis Bolton,Oklahoma,Sr.,LB,14,58,81,139,9.9
22,23,Colin Schooler,Arizona,So.,LB,12,72,47,119,9.9
23,24,Austin Robinson,Houston,Sr.,LB,13,75,53,128,9.8
24,25,De'Jon Harris,Arkansas,Jr.,LB,12,62,56,118,9.8
